Key,english
SphereIIDialogTest_start, "Hi..." 
SphereIIDialogTest_HireThem, "I'd like to hire you." 
SphereIIDialogTest_start_01, "You think I wear this outfit for the fun of it? Yes, I'm a real nurse. I was at work when the world went to shit." 
SphereIIDialogTest_860354f59236e19469093dfcc989b693, "I worked with a group of first responders. We got a call to the skate park because there was some kids getting sick. We got there, and it was a shit show. All the kids there were sick, and throwing up." 
SphereIIDialogTest_madethemsick, "We didn't know at first. We thought it might have been a gas leak, so we called in support from the bio-lab. They came in their hazmat suits, but by the time they arrived, it was too late." 
SphereIIDialogTest_6ab80a4224cd27e468f508c7129e1e0c, "The lab workers didn't detect any gas leak, so they cleared the area for us to go get the bodies. That's when things got really bad." 
SphereIIDialogTest_b6d615aa21cca594386df85aea06f4c6, "The kids started to get up, growling and snarling at us. I ran back to the van, but I was the only one who made it..." 
SphereIIDialogTest_soundsawful, "I hid in the van for hours, hearing them snarl and growl. I must have fallen asleep; when I woke up, it was all quiet. I woke up to this new hell." 
SphereIIDialogTest_sorryithappened, "Sorry doesn't make it go away. But thanks for listening." 
SphereIIDialogTest_YourStory, "You must have gotten hit in the head pretty hard, if you don't remember a lot. Sounds like a touch of amnesia." 
SphereIIDialogTest_amnesia, "Amnesia is the fancy word for losing your memory. It can happen if you get hit in the head, if you've gotten a fever, or a few other causes." 
SphereIIDialogTest_willitgetbetter, "It's hard to say. I'm not a doctor, so it's not really area. It might get better over time. You'll just have to have some patience." 
SphereIIDialogTest_donotbelieve, "What the hell? I don't give a shit about you believe. I'm done with you." 
SphereIIDialogTest_sorry_1, "I can understand that. We are all stressed. You don't see us taking it out on others though." 
SphereIIDialogTest_poisoned, "Poison people?! What the hell is your problem?" 
SphereIIDialogTest_8e5a5043e533b044896f9cd4283ae329, "Are you an actual nurse?" 
SphereIIDialogTest_bbd5ede896d367b45bf65b30cd98472f, "[ Tell Your Story ]" 
SphereIIDialogTest_d91d012f62899564f95cdb75ff76aed1, "[ Give Gift ]" 
SphereIIDialogTest_55b068e835ff84040aed245d02ec0a6a, "[ Hire ]" 
SphereIIDialogTest_a4e7ac9b2fb992b499afec5827145621, "No" 
SphereIIDialogTest_8cd348fe3971aad40a393a38678e28c8, "What made them sick?" 
SphereIIDialogTest_81d65a3ceb8c3ed48b31e75bf6f01e6a, "That sounds awful." 
SphereIIDialogTest_7d91314074cf93e429ff8140b45a4335, "You could have saved them." 
SphereIIDialogTest_6623fa595df9d554cad7263504507bb9, "Sorry that happened." 
SphereIIDialogTest_6f85d00136a131d42b9ec272c4652190, "Any Time" 
SphereIIDialogTest_965446cdd28313344b2a50a864640b72, "Amnesia?" 
SphereIIDialogTest_45783ecad69e5aa40bf30e7e5002ae0f, "Will it get better?" 
SphereIIDialogTest_66a25fb797dcdba4aa4f7a83c9085522, "Will it get any better?" 
SphereIIDialogTest_ce39c309699b61546ad9e64fb6a46fb5, "Thank you." 
SphereIIDialogTest_dc45e2f54800fad4d93f69c870a53238, "Sorry, I'm just stressed." 
SphereIIDialogTest_748418ef15bf26c43937413e39c73f7f, "You've poisoned people for years!" 
SphereIIDialogTest_fcdebf4f5ba015546a31aeb65cda1641, "I know. Again, sorry." 
SphereIIDialogTest_869abf0c0e1494e4699d77f37ba52262, "I know a liar when I see one." 
SphereIIDialogTest_d40d5cba13e5b7c438328ff921656f2b, "Hi" 
SphereIIDialogTest_67f1dfc976d897a4d823fe415cd701ac, "Hello" 
SphereIIDialogTest_3e9595370e8f8b9418cdbd57d142ac60, "Bye" 
SphereIIDialogTest_shop, "May I see your inventory?" 
SphereIIDialogTest_318757be0e54158459a568aca40bbb9f, "Admin" 
SphereIIDialogTest_Admin, "Hello" 
SphereIIDialogTest_restock, "Restock Inventory" 
SphereIIDialogTest_currentjobs1, "Do any of these tasks sound like something you can do?" 
SphereIIDialogTest_currentjobs2, "Do any of these tasks sound like something you can do?" 
SphereIIDialogTest_currentjobs3, "Do any of these tasks sound like something you can do?" 
SphereIIDialogTest_currentjobs4, "Do any of these tasks sound like something you can do?" 
SphereIIDialogTest_currentjobs5, "Do any of these tasks sound like something you can do?" 
SphereIIDialogTest_currentjobsspecial, "Do any of these tasks sound like something you can do?" 
SphereIIDialogTest_nojobs, "I have no work at this time." 
SphereIIDialogTest_admin, "Admin Options" 
SphereIIDialogTest_jobsnone, "Do you have any jobs?" 
SphereIIDialogTest_jobshave1, "Do you have any jobs?" 
SphereIIDialogTest_jobshave2, "Do you have any jobs?" 
SphereIIDialogTest_jobshave3, "Do you have any jobs?" 
SphereIIDialogTest_jobshave4, "Do you have any jobs?" 
SphereIIDialogTest_jobshave5, "Do you have any jobs?" 
SphereIIDialogTest_jobsprev1, "Previous Tier" 
SphereIIDialogTest_jobsprev2, "Previous Tier" 
SphereIIDialogTest_jobsprev3, "Previous Tier" 
SphereIIDialogTest_jobsprev4, "Previous Tier" 
SphereIIDialogTest_jobsnext2, "Next Tier" 
SphereIIDialogTest_jobsnext3, "Next Tier" 
SphereIIDialogTest_jobsnext4, "Next Tier" 
SphereIIDialogTest_jobsnext5, "Next Tier" 
SphereIIDialogTest_specialjobshave, "Got any special jobs?" 
SphereIIDialogTest_nevermind, "Nevermind." 
SphereIIDialogTest_resetquests, "Reset Quests" 
